brand,model,purpose,budget_range,fuel_type,seating,price,rating
Maruti,Swift,Commute,Low,Petrol,5,600000,4.2
Hyundai,i20,Commute,Medium,Petrol,5,750000,4.3
Tata,Nexon,Family,Medium,Petrol,5,900000,4.6
Mahindra,XUV700,Family,High,Diesel,7,1800000,4.8
Kia,Seltos,Family,Medium,Diesel,5,1200000,4.5
Toyota,Innova,Family,High,Diesel,7,2000000,4.7
Honda,City,Commute,Medium,Petrol,5,1100000,4.4
Maruti,Ertiga,Family,Medium,CNG,7,1000000,4.3
Tata,Punch,City,Low,Petrol,5,650000,4.5
Hyundai,Creta,Family,Medium,Petrol,5,1300000,4.6
MG,Hector,Family,High,Diesel,5,1600000,4.4
Skoda,Slavia,Performance,High,Petrol,5,1400000,4.6
VW,Virtus,Performance,High,Petrol,5,1450000,4.7
Tata,Tiago,City,Low,CNG,5,550000,4.2
Maruti,Baleno,Commute,Low,Petrol,5,700000,4.1
Hyundai,Verna,Performance,Medium,Petrol,5,1250000,4.5
Kia,Sonet,City,Low,Petrol,5,800000,4.4
Mahindra,Thar,Offroad,Medium,Diesel,4,1400000,4.6
Tata,Harrier,Family,High,Diesel,5,1700000,4.5
Toyota,Fortuner,Offroad,High,Diesel,7,3500000,4.7
Honda,Amaze,Commute,Low,Petrol,5,750000,4.2
Hyundai,Aura,City,Low,CNG,5,700000,4.1
Renault,Kiger,City,Low,Petrol,5,650000,4.0
Nissan,Magnite,City,Low,Petrol,5,650000,4.1
MG,Astor,Family,Medium,Petrol,5,1200000,4.3
Maruti,Brezza,City,Medium,Petrol,5,950000,4.4
Tata,Safari,Family,High,Diesel,7,2000000,4.6
Jeep,Compass,Offroad,High,Diesel,5,2200000,4.5
Kia,Carens,Family,Medium,Diesel,7,1250000,4.4
Hyundai,Venue,City,Medium,Petrol,5,850000,4.3
Mahindra,Scorpio,Offroad,Medium,Diesel,7,1500000,4.6
Maruti,GrandVitara,Family,Medium,Hybrid,5,1100000,4.5
Toyota,Hyryder,Family,Medium,Hybrid,5,1200000,4.4
VW,Taigun,Performance,Medium,Petrol,5,1300000,4.5
Skoda,Kushaq,Performance,Medium,Petrol,5,1250000,4.4
Tata,Altroz,Commute,Low,Diesel,5,750000,4.5
Hyundai,Tucson,Family,High,Diesel,5,2800000,4.7
Citroen,C3,City,Low,Petrol,5,650000,4.0
Toyota,Camry,Luxury,High,Hybrid,5,4500000,4.8
Honda,Elevate,Family,Medium,Petrol,5,1200000,4.4
Maruti,Jimny,Offroad,Medium,Petrol,4,1300000,4.3
Mahindra,XUV300,City,Medium,Petrol,5,900000,4.5
Tata,Tigor,City,Low,CNG,5,650000,4.2
Hyundai,Alcazar,Family,High,Diesel,7,1800000,4.5
Kia,EV6,Performance,High,Electric,5,6500000,4.8
Tata,NexonEV,City,Medium,Electric,5,1500000,4.6
MG,ZSEV,City,High,Electric,5,2200000,4.5
Hyundai,Ioniq5,Luxury,High,Electric,5,4600000,4.9
BYD,Atto3,Family,High,Electric,5,3400000,4.6
Volvo,XC40Recharge,Luxury,High,Electric,5,5500000,4.8
Chevrolet,Chevelle malibu,Family,Medium,Petrol,5,1050000,4.0
Buick,Skylark 320,Performance,Medium,Petrol,5,1250000,4.1
Plymouth,Satellite,City,Medium,Petrol,5,1200000,4.3
Amc,Rebel sst,City,Medium,Petrol,5,1200000,4.0
Ford,Torino,City,Medium,Petrol,5,950000,4.4
Ford,Galaxie 500,Performance,Medium,Petrol,5,850000,4.7
Chevrolet,Impala,Performance,Medium,Petrol,5,950000,4.2
Plymouth,Fury iii,Performance,Medium,Petrol,5,1000000,4.3
